#,Name,Type,Attack,Defense,HP,Catch,Flee,Fast Moves,Charge Moves
364,Sealeo,Ice Water,137,132,207,25%,7%,Water GunPowder Snow,Water PulseBody SlamAurora BeamFrustration (Shadow)Return (Shadow)
365,Walrein,Ice Water,182,176,242,12.5%,5%,Frost BreathPowder Snow (Community Day)Waterfall,EarthquakeBlizzardWater PulseFrustration (Shadow)Return (Shadow)Icicle Spear (Community Day)
366,Clamperl,Water,133,135,111,50%,10%,Water Gun,Ice BeamWater PulseBody Slam
367,Huntail,Water,197,179,146,20%,6%,BiteWater Gun,Ice BeamAqua TailCrunch
368,Gorebyss,Water,211,179,146,20%,6%,Water GunConfusion,Draining KissWater PulsePsychic
369,Relicanth,Water Rock,162,203,225,90%,1%,Water GunZen Headbutt,Aqua TailAncient PowerHydro Pump
370,Luvdisc,Water,81,128,125,30%,10%,Water GunSplash,Aqua JetDraining KissWater Pulse
371,Bagon,Dragon,134,93,128,40%,9%,BiteEmber,FlamethrowerTwisterCrunchFrustration (Shadow)Return (Shadow)
372,Shelgon,Dragon,172,155,163,10%,6%,Dragon BreathEmber,FlamethrowerTwisterDragon PulseFrustration (Shadow)Return (Shadow)
373,Salamence,Dragon Flying,277,168,216,5%,5%,BiteFire FangDragon Tail,Fire BlastHydro PumpOutrage (Community Day)Draco MeteorFrustration (Shadow)Return (Shadow)
374,Beldum,Steel Psychic,96,132,120,40%,9%,Take Down,StruggleFrustration (Shadow)Return (Shadow)
375,Metang,Steel Psychic,138,176,155,10%,6%,Metal ClawZen Headbutt,PsyshockPsychicGyro BallFrustration (Shadow)Return (Shadow)
376,Metagross,Steel Psychic,257,228,190,5%,5%,Bullet PunchZen Headbutt,EarthquakeFlash CannonPsychicMeteor Mash (Community Day)Frustration (Shadow)Return (Shadow)
377,Regirock,Rock,179,309,190,2%,1%,Rock ThrowRock SmashLock-On,Earthquake (legacy)Stone EdgeFocus BlastZap Cannon
378,Regice,Ice,179,309,190,2%,1%,Frost BreathRock SmashLock-On,EarthquakeBlizzardThunderFocus Blast
379,Registeel,Steel,143,285,190,2%,1%,Metal ClawRock SmashLock-On,Hyper BeamFlash CannonFocus BlastZap Cannon
380,Latias,Dragon Psychic,228,246,190,2%,1%,Dragon BreathZen HeadbuttCharm,ThunderPsychicOutrage
381,Latios,Dragon Psychic,268,212,190,2%,1%,Dragon BreathZen Headbutt,Dragon ClawPsychicSolar Beam
382,Kyogre,Water,270,228,205,2%,1%,Waterfall,BlizzardThunderHydro PumpSurf
383,Groudon,Ground,270,228,205,2%,1%,Mud ShotDragon Tail,EarthquakeFire BlastFire Punch (legacy)Solar Beam
384,Rayquaza,Dragon Flying,284,170,213,2%,1%,Dragon TailAir Slash,Aerial AceAncient PowerHurricane (legacy)Outrage
385,Jirachi,Steel Psychic,210,210,225,100%,0%,ConfusionCharge Beam,Dazzling GleamPsychicDoom Desire
386,Deoxys Normal Forme,Psychic,345,115,137,2%,1%,Zen HeadbuttCharge Beam,Hyper BeamZap CannonPsycho Boost
386,Deoxys Attack Forme,Psychic,414,46,137,2%,1%,Poison JabZen Headbutt,Dark PulseZap CannonPsycho Boost
386,Deoxys Defense Forme,Psychic,144,330,137,2%,1%,Zen HeadbuttCounter,Rock SlideThunderboltPsycho Boost
386,Deoxys Speed Forme,Psychic,230,218,137,2%,1%,Zen HeadbuttCharge Beam,ThunderboltSwiftPsycho Boost
387,Turtwig,Grass,119,110,146,20%,10%,Razor LeafTackle,Seed BombBody SlamEnergy BallFrustration (Shadow)Return (Shadow)
388,Grotle,Grass,157,143,181,10%,7%,BiteRazor Leaf,Solar BeamBody SlamEnergy BallFrustration (Shadow)Return (Shadow)
389,Torterra,Grass Ground,202,188,216,5%,5%,BiteRazor Leaf,EarthquakeStone EdgeSolar BeamSand TombFrenzy Plant (Community Day)Frustration (Shadow)Return (Shadow)
390,Chimchar,Fire,113,86,127,20%,10%,EmberScratch,Flame WheelFlamethrowerFlame ChargeFrustration (Shadow)Return (Shadow)
391,Monferno,Fire Fighting,158,105,162,10%,7%,EmberRock Smash,Flame WheelFlamethrowerLow SweepFrustration (Shadow)Return (Shadow)
392,Infernape,Fire Fighting,222,151,183,5%,5%,Rock SmashFire Spin,FlamethrowerSolar BeamClose CombatBlast Burn (Community Day)Frustration (Shadow)Return (Shadow)
393,Piplup,Water,112,102,142,20%,10%,PoundBubble,Drill PeckBubble BeamIcy Wind
394,Prinplup,Water,150,139,162,10%,7%,Metal ClawBubble,Bubble BeamHydro PumpIcy Wind
395,Empoleon,Water Steel,210,186,197,5%,5%,Metal ClawWaterfall,Flash CannonDrill PeckBlizzardHydro PumpHydro Cannon (Community Day)
396,Starly,Normal Flying,101,58,120,50%,20%,Quick AttackTackle,Aerial AceBrave Bird
397,Staravia,Normal Flying,142,94,146,25%,9%,Wing AttackQuick Attack,Heat WaveAerial AceBrave Bird
398,Staraptor,Normal Flying,234,140,198,12.5%,6%,Wing AttackQuick Attack,Heat WaveClose CombatBrave Bird
399,Bidoof,Normal,80,73,153,50%,20%,TackleTake Down,Ice Beam (legacy)Shadow Ball (legacy)Thunderbolt (legacy)Hyper FangGrass KnotCrunchSuperpower (legacy)
400,Bibarel,Normal Water,162,119,188,20%,7%,Water GunTake Down,Hyper BeamHyper FangSurf
401,Kricketot,Bug,45,74,114,50%,20%,Bug BiteStruggle Bug,Struggle
402,Kricketune,Bug,160,100,184,20%,7%,Fury CutterStruggle Bug,Aerial AceBug BuzzX-Scissor
403,Shinx,Electric,117,64,128,50%,10%,SparkTackle,DischargeThunderboltSwift
404,Luxio,Electric,159,95,155,25%,7%,BiteSpark,ThunderboltWild ChargeCrunch
405,Luxray,Electric,232,156,190,12.5%,5%,SparkSnarlHidden Power,Hyper BeamWild ChargeCrunchPsychic Fangs (Community Day)
406,Budew,Grass Poison,91,109,120,10%,4%,Razor LeafHidden Power,Grass KnotEnergy Ball
407,Roserade,Grass Poison,243,185,155,15%,7%,Razor LeafPoison JabBullet Seed (Community Day),Dazzling GleamSludge BombSolar BeamGrass KnotWeather Ball - Fire (Community Day)Leaf Storm
408,Cranidos,Rock,218,71,167,50%,10%,Zen HeadbuttTake Down,Ancient PowerRock TombBulldoze
409,Rampardos,Rock,295,109,219,20%,6%,Zen HeadbuttSmack Down,FlamethrowerRock SlideOutrage
410,Shieldon,Rock Steel,76,195,102,50%,10%,TackleIron Tail,Ancient PowerRock TombHeavy Slam
411,Bastiodon,Rock Steel,94,286,155,20%,6%,Iron TailSmack Down,FlamethrowerStone EdgeFlash Cannon
412,Burmy Plant Cloak,Bug,53,83,120,50%,20%,Bug BiteTackle,Struggle
412,Burmy Sandy Cloak,Bug,53,83,120,50%,0%,Bug BiteTackle,Struggle
412,Burmy Trash Cloak,Bug,53,83,120,50%,0%,Bug BiteTackle,Struggle
413,Wormadam Plant Cloak,Bug Grass,141,180,155,15%,7%,Bug BiteConfusion,PsybeamBug BuzzEnergy Ball
413,Wormadam Sandy Cloak,Bug Ground,141,180,155,15%,7%,Bug BiteConfusion,PsybeamBug BuzzBulldoze
413,Wormadam Trash Cloak,Bug Steel,127,175,155,15%,7%,Bug BiteConfusion,PsybeamBug BuzzIron Head
414,Mothim,Bug Flying,185,98,172,15%,7%,Bug BiteAir Slash,PsybeamAerial AceBug Buzz
415,Combee,Bug Flying,59,83,102,15%,7%,Bug Bite,Bug Buzz
416,Vespiquen,Bug Flying,149,190,172,15%,7%,Fury CutterBug BitePoison StingAir Slash,Bug BuzzPower GemSignal BeamX-ScissorFell Stinger
417,Pachirisu,Electric,94,172,155,30%,9%,SparkVolt Switch,Thunder PunchThunderThunderbolt
418,Buizel,Water,132,67,146,50%,10%,Quick AttackWater Gun,Aqua JetWater PulseSwift
419,Floatzel,Water,221,114,198,20%,6%,Water GunWaterfall,Aqua JetHydro PumpSwift
420,Cherubi,Grass,108,92,128,50%,9%,TackleBullet Seed,Petal BlizzardSeed BombDazzling Gleam
421,Cherrim Overcast Form,Grass,170,153,172,10%,7%,Razor LeafBullet Seed,Hyper BeamDazzling GleamSolar Beam
421,Cherrim Sunshine Form,Grass,170,153,172,10%,0%,Razor LeafBullet Seed,Hyper BeamDazzling GleamSolar BeamWeather Ball - Fire
422,Shellos East Sea,Water,103,105,183,50%,10%,Mud-SlapHidden Power,Mud BombWater PulseBody Slam
422,Shellos West Sea,Water,103,105,183,50%,0%,Mud-SlapHidden Power,Mud BombWater PulseBody Slam
423,Gastrodon East Sea,Water Ground,169,143,244,20%,6%,Mud-SlapHidden Power,Water PulseBody SlamEarth Power
423,Gastrodon West Sea,Water Ground,169,143,244,20%,0%,Mud-SlapHidden Power,Water PulseBody SlamEarth Power
424,Ambipom,Normal,205,143,181,20%,6%,ScratchAstonish,Hyper BeamAerial AceLow SweepFrustration (Shadow)Return (Shadow)
425,Drifloon,Ghost Flying,117,80,207,40%,10%,AstonishHex,Ominous WindShadow BallIcy Wind
426,Drifblim,Ghost Flying,180,102,312,20%,7%,AstonishHex,Ominous WindShadow BallIcy Wind
427,Buneary,Normal,130,105,146,50%,10%,Quick AttackPound,Fire PunchSwift
428,Lopunny,Normal,156,194,163,20%,6%,Low KickPound,Hyper BeamFire PunchFocus Blast
429,Mismagius,Ghost,211,187,155,10%,7%,Sucker PunchHex,Dark PulseShadow BallDazzling GleamFrustration (Shadow)Return (Shadow)
430,Honchkrow,Dark Flying,243,103,225,10%,7%,PeckSnarl,Dark PulsePsychicBrave BirdSky AttackFrustration (Shadow)Return (Shadow)
431,Glameow,Normal,109,82,135,40%,10%,Quick AttackScratch,Aerial AceThunderboltPlay Rough
432,Purugly,Normal,172,133,174,15%,8%,Shadow ClawScratch,Aerial AceThunderPlay Rough
433,Chingling,Psychic,114,94,128,10%,4%,Zen HeadbuttAstonish,WrapPsyshockShadow Ball
434,Stunky,Poison Dark,121,90,160,50%,10%,BiteScratch,FlamethrowerSludge BombCrunchFrustration (Shadow)Return (Shadow)
435,Skuntank,Poison Dark,184,132,230,20%,6%,BitePoison Jab,FlamethrowerSludge BombCrunchFrustration (Shadow)Return (Shadow)
436,Bronzor,Steel Psychic,43,154,149,50%,10%,TackleConfusion,PsyshockGyro BallHeavy SlamPayback
437,Bronzong,Steel Psychic,161,213,167,20%,6%,ConfusionFeint Attack,Flash CannonPsyshockBulldozePsychicHeavy SlamPayback
438,Bonsly,Rock,124,133,137,10%,4%,Rock ThrowCounter,EarthquakeRock TombRock Slide
439,Mime Jr.,Psychic Fairy,125,142,85,10%,4%,PoundConfusion,PsybeamPsyshockPsychic
440,Happiny,Normal,25,77,225,10%,4%,PoundZen Headbutt,Psychic
441,Chatot,Normal Flying,183,91,183,30%,9%,PeckSteel Wing,Heat WaveSky AttackNight Shade
442,Spiritomb,Ghost Dark,169,199,137,10%,4%,Sucker PunchFeint Attack,Shadow SneakOminous WindShadow Ball
443,Gible,Dragon Ground,124,84,151,40%,9%,Mud ShotTake Down,DigTwisterBody SlamFrustration (Shadow)Return (Shadow)
444,Gabite,Dragon Ground,172,125,169,10%,6%,Mud ShotTake Down,FlamethrowerDigTwisterFrustration (Shadow)Return (Shadow)
445,Garchomp,Dragon Ground,261,193,239,5%,5%,Mud ShotDragon Tail,EarthquakeFire BlastSand TombOutrageEarth Power (Community Day)Frustration (Shadow)Return (Shadow)
446,Munchlax,Normal,137,117,286,10%,4%,LickTackle,Gunk ShotBulldozeBody Slam
447,Riolu,Fighting,127,78,120,—,20%,Quick AttackCounter,Cross ChopLow SweepBrick Break
448,Lucario,Fighting Steel,236,144,172,10%,5%,Bullet PunchCounter,Flash CannonShadow BallClose CombatPower-Up PunchAura Sphere
449,Hippopotas,Ground,124,118,169,40%,10%,BiteTackle,DigRock TombBody SlamFrustration (Shadow)Return (Shadow)
450,Hippowdon,Ground,201,191,239,15%,8%,BiteFire FangThunder FangIce Fang,EarthquakeStone EdgeBody SlamWeather Ball - RockEarth PowerFrustration (Shadow)Return (Shadow)
451,Skorupi,Poison Bug,93,151,120,40%,10%,Poison StingInfestation,Aqua TailCross PoisonSludge Bomb
452,Drapion,Poison Dark,180,202,172,15%,8%,BitePoison StingInfestationIce Fang,Aqua TailSludge BombCrunchFell Stinger
453,Croagunk,Poison Fighting,116,76,134,40%,12%,Poison JabPoison Sting,Low SweepSludge BombBrick Break
454,Toxicroak,Poison Fighting,211,133,195,15%,7%,Poison JabCounter,Sludge BombMud BombDynamic Punch
455,Carnivine,Grass,187,136,179,90%,1%,BiteVine Whip,Power WhipEnergy BallCrunch
456,Finneon,Water,96,116,135,50%,10%,PoundWater Gun,Ice BeamWater PulseSilver Wind
457,Lumineon,Water,142,170,170,20%,6%,Water GunWaterfall,BlizzardWater PulseSilver Wind
458,Mantyke,Water Flying,105,179,128,10%,4%,TackleBubble,Ice BeamAerial AceWater Pulse
459,Snover,Grass Ice,115,105,155,30%,10%,Ice ShardPowder Snow,Ice BeamStompEnergy BallFrustration (Shadow)Return (Shadow)
460,Abomasnow,Grass Ice,178,158,207,12.5%,6%,Razor LeafPowder Snow,BlizzardEnergy BallOutrageWeather Ball - IceFrustration (Shadow)Return (Shadow)
461,Weavile,Dark Ice,243,171,172,15%,9%,Ice ShardFeint AttackSnarl,Focus BlastAvalancheFoul PlayFrustration (Shadow)Return (Shadow)
462,Magnezone,Electric Steel,238,205,172,12.5%,5%,SparkCharge Beam,Flash CannonWild ChargeZap CannonMirror ShotFrustration (Shadow)Return (Shadow)
463,Lickilicky,Normal,161,181,242,15%,9%,LickZen Headbutt,Hyper BeamEarthquakeShadow BallSolar BeamBody Slam (legacy)
464,Rhyperior,Ground Rock,241,190,251,5%,5%,Mud-SlapSmack Down,EarthquakeStone EdgeSurfSkull BashSuperpowerFrustration (Shadow)Return (Shadow)Rock Wrecker (Community Day)
465,Tangrowth,Grass,207,184,225,15%,10%,Vine WhipInfestation,Ancient PowerRock SlideSludge BombSolar BeamPower Whip
466,Electivire,Electric,249,163,181,15%,10%,Thunder ShockLow Kick,Flamethrower (Community Day)Ice PunchThunder PunchThunderWild ChargeFrustration (Shadow)Return (Shadow)
467,Magmortar,Fire,247,172,181,15%,10%,Karate ChopFire Spin,Thunderbolt (Community Day)Fire BlastPsychicFire PunchBrick BreakFrustration (Shadow)Return (Shadow)
468,Togekiss,Fairy Flying,225,217,198,1%,5%,Air SlashHidden PowerCharm,FlamethrowerAerial AceAncient PowerDazzling Gleam
469,Yanmega,Bug Flying,231,156,200,17.5%,5%,Bug BiteWing Attack,Aerial AceBug BuzzAncient Power
470,Leafeon,Grass,216,219,163,12.5%,6%,Razor LeafQuick AttackBullet Seed (Community Day),Solar BeamLeaf BladeEnergy BallLast Resort (Community Day)
471,Glaceon,Ice,238,205,163,12.5%,6%,Ice ShardFrost Breath,Ice BeamWater Pulse (Community Day)Icy WindAvalancheLast Resort (Community Day)
472,Gliscor,Ground Flying,185,222,181,12.5%,9%,Fury CutterWing Attack,EarthquakeAerial AceNight SlashSand TombFrustration (Shadow)Return (Shadow)
473,Mamoswine,Ice Ground,247,146,242,5%,5%,Mud-SlapPowder Snow,Stone EdgeAncient Power (Community Day)BulldozeAvalancheFrustration (Shadow)Return (Shadow)
474,Porygon-Z,Normal,264,150,198,5%,5%,Charge BeamHidden PowerLock-On,Hyper BeamBlizzardSolar BeamZap CannonFrustration (Shadow)Return (Shadow)
475,Gallade,Psychic Fighting,237,195,169,50%,5%,Low KickConfusionCharm,PsychicLeaf BladeClose CombatFrustration (Shadow)Return (Shadow)Synchronoise (Community Day)
476,Probopass,Rock Steel,135,275,155,10%,7%,SparkRock Throw,Rock SlideMagnet BombThunderboltFrustration (Shadow)Return (Shadow)
477,Dusknoir,Ghost,180,254,128,10%,5%,AstonishHex,Dark PulseOminous WindShadow Ball (Community Day)PsychicFrustration (Shadow)Return (Shadow)
478,Froslass,Ice Ghost,171,150,172,20%,7%,Powder SnowHex,Shadow BallAvalancheCrunch
479,Rotom Wash Rotom,Electric Water,204,219,137,30%,10%,Thunder ShockAstonish,ThunderThunderboltHydro Pump
480,Uxie,Psychic,156,270,181,2%,0%,ConfusionExtrasensory,ThunderSwiftFuture Sight
481,Mesprit,Psychic,212,212,190,2%,0%,ConfusionExtrasensory,BlizzardSwiftFuture Sight
482,Azelf,Psychic,270,151,181,2%,0%,ConfusionExtrasensory,Fire BlastSwiftFuture Sight
483,Dialga,Steel Dragon,275,211,205,2%,4%,Dragon BreathMetal Claw,Iron HeadThunderDraco Meteor
484,Palkia,Water Dragon,280,215,189,2%,4%,Dragon BreathDragon Tail,Aqua TailFire BlastHydro PumpDraco Meteor
485,Heatran,Fire Steel,251,213,209,2%,4%,Bug BiteFire Spin,FlamethrowerStone EdgeIron HeadFire Blast
486,Regigigas,Normal,287,210,221,2%,4%,Zen HeadbuttHidden Power,ThunderFocus BlastGiga Impact
487,Giratina Altered Forme,Ghost Dragon,187,225,284,2%,4%,Dragon BreathShadow Claw,Ancient PowerShadow SneakDragon Claw
487,Giratina Origin Forme,Ghost Dragon,225,187,284,2%,4%,Shadow ClawDragon Tail,Ominous WindShadow BallDragon Pulse
488,Cresselia,Psychic,152,258,260,2%,4%,Psycho CutConfusion,MoonblastAurora BeamGrass Knot (legacy)Future Sight
491,Darkrai,Dark,285,198,172,2%,0%,Feint AttackSnarl,Dark PulseShadow BallSludge Bomb (legacy)Focus Blast
494,Victini,Psychic Fire,210,210,225,100%,0%,Quick AttackConfusion,PsychicFocus BlastOverheatV-create
495,Snivy,Grass,88,107,128,20%,10%,Vine WhipTackle,WrapSeed BombEnergy Ball
496,Servine,Grass,122,152,155,10%,10%,Vine WhipIron Tail,WrapGrass KnotLeaf Tornado
497,Serperior,Grass,161,204,181,5%,5%,Vine WhipIron Tail,Aerial AceGrass KnotFrenzy Plant (Community Day)Leaf Tornado
498,Tepig,Fire,115,85,163,20%,10%,EmberTackle,FlamethrowerFlame ChargeBody Slam
499,Pignite,Fire Fighting,173,106,207,10%,7%,EmberTackle,FlamethrowerRock TombFlame Charge
500,Emboar,Fire Fighting,235,127,242,5%,5%,Low KickEmber,Heat WaveRock SlideFlame ChargeFocus BlastBlast Burn (Community Day)
501,Oshawott,Water,117,85,146,20%,10%,TackleWater Gun,Night SlashAqua TailWater Pulse
502,Dewott,Water,159,116,181,10%,7%,Fury CutterWater Gun,Aqua TailX-ScissorWater Pulse
503,Samurott,Water,212,157,216,5%,5%,Fury CutterWaterfall,MegahornBlizzardHydro PumpHydro Cannon (Community Day)Razor Shell
504,Patrat,Normal,98,73,128,50%,20%,BiteTackle,DigHyper FangGrass Knot
505,Watchog,Normal,165,139,155,20%,7%,BiteLow Kick,Hyper FangGrass KnotCrunch
506,Lillipup,Normal,107,86,128,50%,20%,TackleTake Down,DigRock TombThunderbolt
507,Herdier,Normal,145,126,163,25%,9%,LickTake Down,DigThunderboltPlay Rough
508,Stoutland,Normal,206,182,198,12.5%,5%,LickTake DownIce Fang,Play RoughWild ChargeCrunch
509,Purrloin,Dark,98,73,121,50%,20%,Sucker PunchScratch,Dark PulseNight SlashPlay Rough
510,Liepard,Dark,187,106,162,20%,7%,SnarlCharm,Dark PulsePlay RoughGunk ShotPayback
511,Pansage,Grass,104,94,137,50%,20%,Vine WhipScratch,Seed BombEnergy BallCrunch
512,Simisage,Grass,206,133,181,20%,7%,BiteVine Whip,Solar BeamGrass KnotCrunch
513,Pansear,Fire,104,94,137,50%,20%,ScratchFire Spin,Flame ChargeFlame BurstCrunch
514,Simisear,Fire,206,133,181,20%,7%,BiteFire Spin,FlamethrowerFire BlastCrunch
515,Panpour,Water,104,94,137,50%,20%,ScratchWater Gun,Water PulseCrunchSurf
516,Simipour,Water,206,133,181,20%,7%,BiteWater Gun,Hydro PumpCrunchSurf
517,Munna,Psychic,111,92,183,50%,20%,Zen HeadbuttCharge Beam,PsybeamPsyshockDazzling Gleam
518,Musharna,Psychic,183,166,253,20%,7%,Zen HeadbuttCharge Beam,PsyshockDazzling GleamFuture Sight
519,Pidove,Normal Flying,98,80,137,50%,20%,Quick AttackAir Slash,Heat WaveAerial AceAir Cutter
520,Tranquill,Normal Flying,144,107,158,25%,9%,Steel WingAir Slash,Heat WaveAerial AceSky Attack
521,Unfezant,Normal Flying,226,146,190,12.5%,5%,Steel WingAir Slash,Hyper BeamHeat WaveSky Attack
522,Blitzle,Electric,118,64,128,30%,10%,SparkQuick Attack,DischargeThunderboltFlame Charge
523,Zebstrika,Electric,211,136,181,10%,7%,SparkLow Kick,DischargeFlame ChargeWild Charge
524,Roggenrola,Rock,121,110,146,50%,15%,TackleSmack Down,Stone EdgeBulldozeRock Blast
525,Boldore,Rock,174,143,172,25%,7%,Mud-SlapSmack Down,Stone EdgeRock SlideBulldoze
526,Gigalith,Rock,226,201,198,12.5%,5%,Mud-SlapSmack Down,Rock SlideSolar BeamHeavy SlamSuperpower
527,Woobat,Psychic Flying,107,85,163,50%,20%,ConfusionAir Slash,Aerial AcePsyshockAir Cutter
528,Swoobat,Psychic Flying,161,119,167,20%,7%,ConfusionAir Slash,Aerial AcePsychicFuture Sight
529,Drilbur,Ground,154,85,155,50%,20%,ScratchMud-Slap,DigDrill RunRock Tomb
530,Excadrill,Ground Steel,255,129,242,20%,7%,Mud ShotMetal ClawMud-Slap,EarthquakeDrill RunRock SlideIron Head
531,Audino,Normal,114,163,230,5%,5%,PoundZen Headbutt,Hyper BeamDisarming VoiceDazzling Gleam
532,Timburr,Fighting,134,87,181,50%,15%,Low KickPound,Low SweepRock TombBrick Break
533,Gurdurr,Fighting,180,134,198,25%,7%,Low KickPoison Jab,Stone EdgeLow SweepBrick Break
534,Conkeldurr,Fighting,243,158,233,12.5%,5%,Poison JabCounter,Stone EdgeDynamic PunchFocus Blast
535,Tympole,Water,98,78,137,50%,15%,Mud ShotBubble,Sludge WaveMud BombWater Pulse
536,Palpitoad,Water Ground,128,109,181,25%,7%,Mud ShotBubble,Sludge WaveWater PulseEarth Power
537,Seismitoad,Water Ground,188,150,233,12.5%,5%,Mud ShotBubble,Sludge BombEarth PowerMuddy Water
538,Throh,Fighting,172,160,260,20%,7%,Low KickZen Headbutt,Low SweepBody SlamFocus Blast
539,Sawk,Fighting,231,153,181,20%,7%,Low KickPoison Jab,Low SweepBody SlamFocus Blast
540,Sewaddle,Bug Grass,96,124,128,50%,15%,Bug BiteStruggle Bug,Seed BombSilver WindEnergy Ball
541,Swadloon,Bug Grass,115,162,146,25%,7%,Bug BiteStruggle Bug,Bug BuzzSilver WindEnergy Ball
542,Leavanny,Bug Grass,205,165,181,12.5%,5%,Bug BiteRazor Leaf,X-ScissorLeaf BladeSilver WindLeaf Storm
543,Venipede,Bug Poison,83,99,102,30%,10%,Bug BitePoison Sting,Sludge BombSignal BeamGyro Ball
544,Whirlipede,Bug Poison,100,173,120,15%,5%,Bug BitePoison Sting,Sludge BombSignal BeamGyro Ball
545,Scolipede,Bug Poison,203,175,155,20%,7%,Bug BitePoison Jab,MegahornSludge BombX-ScissorGyro Ball
546,Cottonee,Grass Fairy,71,111,120,30%,10%,Razor LeafCharm,Seed BombGrass KnotEnergy Ball
547,Whimsicott,Grass Fairy,164,176,155,15%,5%,Razor LeafCharm,MoonblastHurricaneGrass Knot
548,Petilil,Grass,119,91,128,30%,10%,Hidden PowerCharm,Seed BombEnergy Ball
549,Lilligant,Grass,214,155,172,15%,5%,Hidden PowerCharm,Hyper BeamPetal BlizzardSolar Beam
550,Basculin Red-Striped Form,Water,189,129,172,20%,7%,TackleWater Gun,Aqua JetAqua TailMuddy Water
550,Basculin Blue-Striped Form,Water,189,129,172,20%,7%,TackleWater Gun,Aqua JetAqua TailMuddy Water
551,Sandile,Ground Dark,132,69,137,50%,15%,BiteMud-Slap,DigBulldozeCrunch
552,Krokorok,Ground Dark,155,90,155,25%,7%,BiteMud-Slap,EarthquakeBulldozeCrunch
553,Krookodile,Ground Dark,229,158,216,12.5%,5%,Mud-SlapSnarl,EarthquakeOutrageCrunch
554,Darumaka,Fire,153,86,172,30%,9%,TackleFire Fang,Flame ChargeFire Punch
554,Darumaka Galarian Darumaka,Ice,153,86,172,30%,9%,TackleIce Fang,Ice PunchIce Beam
555,Darmanitan Standard Mode,Fire,263,114,233,10%,7%,TackleFire FangIncinerate,Rock SlidePsychicFocus BlastOverheat
555,Darmanitan Galarian Standard Mode,Ice,263,114,233,10%,7%,TackleIce Fang,Ice PunchAvalancheOverheatSuperpower
556,Maractus,Grass,201,130,181,20%,7%,Poison JabBullet Seed,Aerial AcePetal BlizzardSolar Beam
557,Dwebble,Bug Rock,118,128,137,30%,10%,CutSmack Down,Rock TombX-ScissorRock Blast
558,Crustle,Bug Rock,188,200,172,10%,7%,Fury CutterSmack Down,Rock SlideX-ScissorRock Blast
559,Scraggy,Dark Fighting,132,132,137,30%,9%,Feint AttackRock Smash,Brick BreakFoul PlayAcid Spray
560,Scrafty,Dark Fighting,163,222,163,10%,7%,CounterSnarl,Foul PlayAcid SprayPower-Up Punch
561,Sigilyph,Psychic Flying,204,167,176,20%,7%,Zen HeadbuttAir Slash,PsybeamAncient PowerSignal BeamAir Cutter
562,Yamask,Ghost,95,141,116,30%,10%,Zen HeadbuttAstonish,Dark PulseOminous WindShadow BallFrustration (Shadow)Return (Shadow)
562,Yamask Galarian Yamask,Ground Ghost,95,141,116,30%,10%,Astonish,Rock TombNight Shade
563,Cofagrigus,Ghost,163,237,151,10%,7%,Shadow ClawZen HeadbuttAstonish,Dark PulseShadow BallPsychicFrustration (Shadow)Return (Shadow)
564,Tirtouga,Water Rock,134,146,144,30%,10%,BiteWater Gun,Ancient PowerBody SlamSurf
565,Carracosta,Water Rock,192,197,179,10%,7%,Rock ThrowWater Gun,Ancient PowerBody SlamSurf
566,Archen,Rock Flying,213,89,146,30%,9%,Wing AttackQuick Attack,Ancient PowerDragon ClawCrunch
567,Archeops,Rock Flying,292,139,181,10%,7%,Wing AttackSteel Wing,Ancient PowerDragon ClawCrunch
568,Trubbish,Poison,96,122,137,30%,9%,PoundTake Down,Seed BombGunk Shot
569,Garbodor,Poison,181,164,190,10%,7%,InfestationTake Down,Seed BombGunk ShotBody SlamAcid Spray
572,Minccino,Normal,98,80,146,30%,10%,PoundCharm,Aqua TailThunderboltSwift
573,Cinccino,Normal,198,130,181,10%,7%,PoundCharm,Hyper BeamAqua TailThunderbolt
574,Gothita,Psychic,98,112,128,50%,15%,PoundConfusion,PsybeamPsyshockPsychic
575,Gothorita,Psychic,137,153,155,25%,7%,PoundConfusion,PsybeamPsychicFuture Sight
576,Gothitelle,Psychic,176,205,172,12.5%,5%,ConfusionCharm,Rock SlidePsychicFuture Sight
577,Solosis,Psychic,170,83,128,50%,15%,Zen HeadbuttHidden Power,PsyshockThunderNight Shade
578,Duosion,Psychic,208,103,163,25%,7%,Zen HeadbuttHidden Power,PsyshockThunderNight Shade
579,Reuniclus,Psychic,214,148,242,12.5%,5%,Zen HeadbuttHidden Power,Shadow BallThunderFuture Sight
580,Ducklett,Water Flying,84,96,158,50%,15%,Wing AttackWater Gun,Aerial AceBubble BeamBrave Bird
581,Swanna,Water Flying,182,132,181,40%,12%,Water GunAir Slash,Ice BeamBubble BeamHurricane
582,Vanillite,Ice,118,106,113,40%,7%,Powder SnowAstonish,Ice BeamSignal BeamIcy Wind
583,Vanillish,Ice,151,138,139,5%,5%,Frost BreathAstonish,Ice BeamSignal BeamIcy Wind
584,Vanilluxe,Ice,218,184,174,12.5%,5%,Frost BreathAstonish,Flash CannonBlizzardSignal Beam
585,Deerling Spring Form,Normal Grass,115,100,155,30%,0%,TackleTake Down,Seed BombWild ChargeEnergy Ball
585,Deerling Autumn Form,Normal Grass,115,100,155,30%,0%,TackleTake Down,Seed BombWild ChargeEnergy Ball
